wban,latitude,longitude
4838,42.12083,-87.90472
4839,42.74611,-86.09667
4840,43.76944,-88.49083
4841,43.76944,-87.85056
4842,40.87306,-81.88667
4843,41.62639,-80.215
4845,42.595,-87.93806
4846,41.4525,-87.00583
4847,41.86778,-84.07944
4848,41.56306,-83.47639
4849,41.34611,-82.17944
4850,40.7075,-84.02722
4851,41.3375,-84.42889
4852,40.47194,-81.42361
4853,41.5175,-81.68361
4854,45.01333,-84.70139
4855,40.61611,-83.06361
4857,41.77806,-80.69583
4858,40.02278,-82.4625
4864,45.15417,-89.11056
4891,45.19917,-89.71139
4895,44.55,-89.53333
4901,40.89306,-97.99722
4902,43.66472,-92.93333
4916,43.27528,-91.73917
4927,43.67667,-92.17972
4935,40.45,-99.33917
4955,42.68083,-91.97444
4956,44.07694,-91.70806
4963,43.01917,-91.12361
4990,43.7346,-96.6222
4994,48.3055,-95.8744
4998,40.14917,-97.58667
11624,17.6997,-64.8125
11630,18.255,-65.64083
11640,18.3363,-64.98
11641,18.4325,-66.01083
12812,26.91722,-81.99139
12815,28.4339,-81.325
12816,29.6919,-82.2755
12818,28.47361,-82.45444
12819,28.82083,-81.80972
12832,29.73333,-85.03333
12833,29.63333,-83.10528
12834,29.1828,-81.0483
12835,26.585,-81.8614
12836,24.555,-81.75222
12838,28.10111,-80.64389
12839,25.7905,-80.3163
12841,28.54528,-81.33306
12842,27.96194,-82.5403
12843,27.651,-80.4199
12844,26.6847,-80.0994
12849,26.0719,-80.1536
12850,24.58333,-81.68333
12854,28.77972,-81.24361
12871,27.40139,-82.55861
12873,27.91056,-82.6875
12876,28.06222,-81.75417
12882,25.90694,-80.28028
12883,28,-82.05
12884,29.333,-89.4075
12885,26.19694,-80.17083
12888,25.6475,-80.43306
12894,26.53611,-81.755
12895,27.49806,-80.37667
12896,24.72583,-81.05167
12897,26.1522,-81.7752
12904,26.22806,-97.65417
12907,27.53333,-99.46667
12912,28.8614,-96.9303
12916,29.9933,-90.2511
12917,29.95056,-94.02056
12918,29.63806,-95.28194
12919,25.9141,-97.423
12921,29.5443,-98.4839
12923,29.2733,-94.8592
12924,27.7742,-97.5122
12926,27.68333,-97.28333
12928,27.5,-97.81667
12932,27.74111,-98.02472
12935,28.72472,-96.25361
12947,28.45667,-99.21833
12953,29.26611,-96.0075
12957,26.16583,-97.34583
12959,26.18389,-98.25389
12960,29.98,-95.36
12961,29.98333,-99.08333
12962,29.3601,-99.1742
12968,29.56222,-91.52556
12970,29.3389,-98.472
12971,29.7089,-98.0458
12972,28.08361,-97.04639
12975,29.51889,-95.24167
12976,29.10972,-95.46194
